fold,subject,loss,mae,mape,CLASSIFICADOR,FILTERS,KERNEL_SIZES,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,DROPOUT_RATE,USE_POOLING,combination_id,execution_time
4,3,987.1004109145755,28.884906765574232,0.31407537096618976,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
5,4,150.19617925163578,9.991786287930529,0.1009932384978934,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
6,5,302.256161262779,13.549638081383554,0.15583649771943137,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
7,6,101.39833930276134,7.942571289931671,0.09117301180704743,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
8,7,198.91187928915275,11.577499424130464,0.15228042910167552,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
1,0,359.3186726390412,15.141640285694944,0.1352821956638067,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
2,1,301.10127965373243,14.511128399588845,0.1869814368067121,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
3,2,109.79407393181768,8.086547682085708,0.0910552055696201,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
4,3,295.5589359096815,11.940168748341268,0.11596490628416226,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
5,4,147.72832799580974,9.626079528319575,0.09754432216796939,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
6,5,471.13813396418664,17.345981461859513,0.20306159511003297,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
7,6,116.65549920454689,8.483155893977685,0.09228648520885516,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
8,7,203.44967595830286,11.66933291805677,0.1534605508078956,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,3,157.4401731491089
1,0,579.4470990959825,19.5957818496518,0.16984659773416844,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
2,1,669.1082385091678,22.47683219649575,0.27725916492648833,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
3,2,135.28028792510742,8.961233895316024,0.09830977156579365,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
4,3,327.4573452857853,13.246190012257077,0.12394271363810243,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
5,4,125.46944812248319,8.90431626121,0.08976225134706906,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
6,5,395.3393631545063,15.674504139884938,0.1803632311738511,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
7,6,118.39415114635062,8.500323462184472,0.09511584827982389,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
8,7,204.70494041853286,11.733890357096332,0.1614645121295947,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,4,171.232088804245
1,0,381.71143592531297,15.808959435465066,0.14223577179919755,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
2,1,370.7400561534959,16.48060021573847,0.2267281429129323,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
3,2,87.2376786379411,7.431511358291477,0.08837872326110227,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
4,3,319.8523744538662,13.721850255738854,0.12537119400850752,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
5,4,169.2414986594046,10.380255967143299,0.10255698134700901,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
6,5,308.1024196746372,13.804023321596873,0.1683362405399663,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
7,6,142.23747737454434,9.214189733432818,0.09965004556318438,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
8,7,221.53967112344634,11.853437779363523,0.13994557242766148,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,5,165.95784854888916
1,0,748.7597336161658,22.273185354643015,0.19047976586607807,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
2,1,526.3071112831656,20.15177309729836,0.2814485110038482,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
3,2,122.98358564748605,8.468365646229074,0.09756684423076889,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
4,3,209.67245213115257,10.367582125272776,0.10157780558984805,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
5,4,142.259488818815,9.386152326811539,0.09471951364947427,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
6,5,215.74619330574765,11.556229210547716,0.13601898092974518,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
7,6,164.92049282444123,10.25462873193282,0.12236453772347562,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
8,7,552.536386429574,20.200257295419362,0.2810623837505229,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,6,183.42495846748352
1,0,347.7730590193712,14.259509102468215,0.13017373326196693,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
2,1,302.16102284583275,14.601883817152544,0.1874850121403281,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
3,2,159.1347512404492,9.608323726644256,0.11253910297398845,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
4,3,278.4581409769522,11.726881954293077,0.1262582490184409,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
5,4,131.07913441680114,9.129382585737243,0.09265482981020387,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
6,5,387.6797930060069,15.66555765958043,0.18590314150603074,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
7,6,145.09706368801469,9.593843012218233,0.11071801475510794,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
8,7,244.3138239211707,12.769757156529703,0.17858258300562435,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,7,119.1991286277771
1,0,307.4643542016085,13.091947389547682,0.12286571126015663,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
2,1,202.76843234161953,11.806530513763427,0.14379509956812775,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
3,2,169.7548954908906,9.75883850074145,0.11192362283901339,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
4,3,266.33518687564447,11.476268028265727,0.12374479538106087,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
5,4,125.94975275567572,8.548790755849963,0.08550681457743549,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
6,5,419.9189431722383,16.444009459753282,0.19763768160624007,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
7,6,148.11990339149406,9.697213121003742,0.1101094417545189,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
8,7,231.5410207366224,12.448064058280188,0.1697725581128757,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,8,181.41430163383484
1,0,1039.4428610762673,28.35968575509319,0.2556293043251648,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
2,1,831.2312168227304,26.121086472597987,0.33089977161856965,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
3,2,180.9734948551407,11.39482128160944,0.11904720081677628,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
4,3,201.13062671942671,9.790319807128391,0.09953327984609703,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
5,4,173.33046728037655,10.643358588495534,0.10614708948904619,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
6,5,397.0528129754771,15.749896338702058,0.18167191366534394,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
7,6,124.00390007711059,8.791569181031818,0.09629904488897487,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
8,7,189.68047235536588,10.976586045312487,0.13834288086119254,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,9,77.52450585365295
1,0,732.4008825015665,21.345353657284754,0.18087815146478123,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
2,1,1107.0029471585626,29.710077900453047,0.3531126181254245,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
3,2,113.47549047063936,8.407621298438778,0.09583342158775274,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
4,3,378.77367788145176,14.63750297904317,0.1378976070839199,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
5,4,183.43323391126233,10.87169434422955,0.10843476215275855,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
6,5,234.60831763355216,12.027590605889866,0.14114500066498778,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
7,6,101.03724966689052,7.9736996723126765,0.08930289223298268,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
8,7,314.23506295114083,14.608951572544317,0.1932635151758107,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,10,131.3724021911621
1,0,597.2023449177689,19.835156545406434,0.1700218207744491,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
2,1,500.06495313587345,19.42625170881098,0.2485290772602161,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
3,2,160.91842534136003,10.090943747443546,0.10901067422253921,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
