combination_id,CLASSIFICADOR,FILTERS,KERNEL_SIZES,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,DROPOUT_RATE,USE_POOLING,mean_loss,std_loss,mean_mae,std_mae,mean_mape,std_mape,execution_time
1,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,490.52884984049433,443.348267896358,17.108227595171805,9.196018230868022,0.1900921916270128,0.10283217962580371,92.81586408615112
2,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,492.4302726587225,445.32191399870567,17.144924764232698,9.614494822913754,0.1894084274458631,0.10763144108669452,122.61720657348633
3,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,True,250.59307490713985,128.5088519248921,12.100504364740537,3.3403613728817976,0.1344545872023818,0.04341460282463671,157.4402687549591
4,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.5,False,319.4001092072395,214.08259047470565,13.636634021762049,5.240259332366321,0.14950801134936142,0.06282847998818451,171.2321972846985
5,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,True,250.0828265003311,110.59418378973464,12.336853508346298,3.1886480556788004,0.13665033398244508,0.044958408533923536,165.95796966552734
6,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.0,False,335.3981805070685,237.86902370271753,14.082271723519334,5.729121096758763,0.16315479284297013,0.079119572169673,183.4250524044037
7,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,True,249.46209863932484,96.71699821781041,12.169392376827963,2.5494877427088385,0.1405393333089614,0.03777131441760049,119.19921112060547
8,CNN1D,"(64, 32)","(5,)","(64,)",16,0.01,50,relu,adam,0.5,False,233.9815611207242,96.48653801936464,11.658957728400683,2.471554024586912,0.1331694656374286,0.03597362516556319,181.414386510849
9,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,True,392.1057315202369,349.2167829762864,15.228415433746362,7.710434508956131,0.16594631068889565,0.08560610226038075,77.52459049224854
10,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.0,False,395.62085777188327,351.26849183272736,14.94781150377452,7.325288069971267,0.16248349606105225,0.08569374978604306,131.3725061416626
11,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,317.19673452196525,192.80185282232836,13.673042989819718,4.749204523514867,0.1507338655319892,0.057999866832222975,106.63455605506897
12,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,293.04901589332655,212.7286082734992,13.080711995094532,5.3752939150717625,0.14739295284242657,0.07018924523816404,131.6635730266571
13,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,342.4650197402449,247.74809880697316,14.543904430328006,6.377496386656141,0.16689163425511916,0.08054227104959444,91.98446679115295
14,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,385.96897833389176,309.26291537281253,15.197585655671247,7.534444312862193,0.17736307599600706,0.10066779877069566,96.9486756324768
15,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,258.1594049070792,117.26475084601489,12.329045831066162,2.799808769719516,0.14065224692546924,0.0351715279822488,106.87602972984314
16,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,258.36536914293265,111.62229943665872,12.310736465457087,3.0101169283412363,0.1429025464286669,0.045909080665385384,158.87904953956604
17,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,281.8473881527954,167.44960602058464,13.438034725063403,4.139112282527672,0.1482546333884675,0.03811916191238474,130.15880870819092
18,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,False,422.0696221611248,296.3968475465487,16.109630776021753,6.449285399794859,0.17725156503262557,0.07898352131376317,135.31609630584717
19,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,True,277.72248988126023,159.24782820571235,12.739887530093938,3.9025117192145995,0.14131274144204575,0.03775144754071369,139.63859486579895
20,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.5,False,273.0438516413042,177.62669119159887,12.641851872997716,4.001605060724814,0.14132858952663008,0.035599376260802396,209.0343062877655
21,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,True,355.52046672955913,309.2294410179287,14.464365036504134,7.083122917122019,0.16641597143497389,0.0989385067440458,110.27242231369019
22,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.0,False,289.5193726623903,197.1069118662241,13.050960863778245,5.313688938118123,0.14897842620581592,0.07236966112433257,193.13202905654907
23,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,True,255.9860199299144,101.26167556340584,12.271575957776083,2.445407122691616,0.1417415562853433,0.03799494842668563,136.4662938117981
24,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.01,50,relu,adam,0.5,False,255.1020325121022,104.31667151631929,12.334622729581492,2.541654198129836,0.14383999052185584,0.03998377558561895,196.42561626434326
25,CNN1D,"(64, 32)","(5, 3)","(64,)",32,0.001,50,relu,adam,0.0,True,406.24968453475367,360.9395142265493,15.30655625998379,7.114285542476724,0.16627318498221144,0.07546548544589608,78.295006275177
