subj,rmse_SBP,rmse_DBP,mape_SBP,mape_DBP,mae_SBP,mae_DBP
MJ,16.977162612749275,15.601005119422533,0.09337052971241004,0.14779548744530827,13.598847302523525,11.718508248847234
SB,21.71258471618084,15.844168578577595,0.17225001758728167,0.2429036466794404,18.946863268071954,13.070105393149635
EW,10.835814275502505,11.494772771143062,0.06232302511731455,0.1316287550247529,8.02194443101692,8.969372557810042
PV,15.521430237934814,13.989247323873728,0.08235259213650961,0.20602245398496877,11.465093553015869,12.149970885766127
JR,12.636229287993423,12.246931868296896,0.08458536499202149,0.12872620428887957,10.594539247221356,9.83061971633422
HS,27.588067940108335,8.682023644318257,0.2711299034432531,0.12794012437024319,25.883869572787074,7.410069472578068
JB,15.664278671970761,10.465712501224699,0.09498066572285421,0.12006610381753405,12.303316589548619,8.069353625140613
SK,17.07032091774701,13.863495705437403,0.12493704716432086,0.2283325841406998,14.013387380552686,11.341127098099259
