subj,rmse,mape,mae
HH,20.65855002796538,0.09931513540457498,16.084165943532746
HS,4.023230514883192,0.03487367172636416,3.230961192998671
HYS,5.421183176948387,0.06244331694788942,4.065347550362569
JB,6.192455025609043,0.04725174981813642,4.62046386952303
PT,6.13684020008537,0.0360183512856161,4.849555048914462
PV,10.106875119279449,0.05057536774079482,8.208379313614483
SK,7.70127720747655,0.06647983540008964,6.55847183559252
SKR,10.169241755062925,0.0855643335999931,8.543857746325042
SS,5.440334670915655,0.04768205901544399,4.192455125997622
TH,5.948540742134837,0.042691756534068,4.707784547197058
ZL,8.256922076345324,0.05357736376770341,5.678734782776098
