n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,4,0.8,0.7,0.0,1,256.3174439071796,12.581159397376418,0.14624434974265932,20.317798376083374
100,0.01,4,0.8,0.7,0.0,3,256.4802561788857,12.584414610669054,0.14627660700132716,20.23105001449585
100,0.01,4,0.8,0.7,0.0,5,256.38938996023865,12.579901409045146,0.14618024492165616,20.05830430984497
100,0.01,4,0.8,0.7,0.1,1,256.2118371729324,12.578423487996286,0.14620886970760238,20.312081336975098
100,0.01,4,0.8,0.7,0.1,3,256.36323525773497,12.581315445471041,0.14623467666585435,20.239782333374023
100,0.01,4,0.8,0.7,0.1,5,256.34418742574167,12.578938592438394,0.14616660494619627,20.2541823387146
100,0.01,4,0.8,0.7,0.3,1,257.3466562214944,12.60404115022801,0.1464859598188973,20.321829319000244
100,0.01,4,0.8,0.7,0.3,3,257.3696007213957,12.604727455447488,0.14649127627363723,20.015784978866577
100,0.01,4,0.8,0.7,0.3,5,257.17589249808276,12.599092440843961,0.14639255378081878,20.021652460098267
100,0.01,4,0.8,0.8,0.0,1,254.382224516408,12.519422936193791,0.14558336279583967,20.331342220306396
100,0.01,4,0.8,0.8,0.0,3,255.34155089787458,12.543224238924907,0.14599280512745758,20.041605234146118
100,0.01,4,0.8,0.8,0.0,5,255.1442161669636,12.53899451795813,0.1459737904378888,20.029566526412964
100,0.01,4,0.8,0.8,0.1,1,254.59022479888893,12.523773532712786,0.1456165172252616,20.280652046203613
100,0.01,4,0.8,0.8,0.1,3,255.24854573077195,12.540884115976521,0.14596605137972135,20.11725378036499
100,0.01,4,0.8,0.8,0.1,5,254.96563398714997,12.534589241694633,0.14592753475635478,20.10468029975891
100,0.01,4,0.8,0.8,0.3,1,254.79467797083237,12.532826636965524,0.14583617999341503,20.250014066696167
100,0.01,4,0.8,0.8,0.3,3,255.1072935388401,12.541032365713152,0.14600115344651207,19.764180421829224
100,0.01,4,0.8,0.8,0.3,5,255.1167292974751,12.541358375804048,0.14600379311461822,19.88668966293335
100,0.01,4,0.8,1.0,0.0,1,245.95459109330932,12.323784890007813,0.14433255116345117,22.676056385040283
100,0.01,4,0.8,1.0,0.0,3,246.44962634576154,12.336437235959208,0.14459028896879628,22.37611198425293
100,0.01,4,0.8,1.0,0.0,5,246.9087047417583,12.347253005320741,0.14471411346652718,22.194143772125244
100,0.01,4,0.8,1.0,0.1,1,245.9905195821595,12.324832730867936,0.14440082866623058,22.037497520446777
100,0.01,4,0.8,1.0,0.1,3,246.48528245035672,12.337523987184966,0.14465873042717353,20.543110370635986
100,0.01,4,0.8,1.0,0.1,5,246.98782672512334,12.349685253449186,0.14479835177303158,20.448017835617065
100,0.01,4,0.8,1.0,0.3,1,246.47532090159777,12.333980523446508,0.14457276071146252,20.436919927597046
100,0.01,4,0.8,1.0,0.3,3,246.80373419921906,12.342506796653739,0.1447433294067157,20.070596933364868
100,0.01,4,0.8,1.0,0.3,5,246.74156028090835,12.34275412109854,0.144723338312977,20.551923274993896
100,0.01,4,1.0,0.7,0.0,1,259.1351091118855,12.656857344710946,0.14700791361661153,18.45376229286194
100,0.01,4,1.0,0.7,0.0,3,259.07618473288125,12.653042572604797,0.14694616615407155,18.64716911315918
100,0.01,4,1.0,0.7,0.0,5,259.01694995176837,12.652367099008037,0.1469359246973059,18.608306884765625
100,0.01,4,1.0,0.7,0.1,1,259.20204493522925,12.656731848208501,0.1470125800342678,18.769073963165283
100,0.01,4,1.0,0.7,0.1,3,259.2126035737713,12.65708364276703,0.14701495149492433,18.536548376083374
100,0.01,4,1.0,0.7,0.1,5,259.2896780852243,12.661829128605259,0.14708386101899884,18.417476654052734
100,0.01,4,1.0,0.7,0.3,1,258.92990321165473,12.654979863903694,0.14698504375148924,18.50754141807556
100,0.01,4,1.0,0.7,0.3,3,258.94821795957887,12.655481551430396,0.14698899198729953,18.575190782546997
100,0.01,4,1.0,0.7,0.3,5,258.9465959779751,12.655485857475503,0.14698912462702352,18.503251552581787
100,0.01,4,1.0,0.8,0.0,1,256.9831405246503,12.581512002555066,0.14629995576302962,18.58591866493225
100,0.01,4,1.0,0.8,0.0,3,256.94234271378053,12.58040468460159,0.14629108105181052,18.521355867385864
100,0.01,4,1.0,0.8,0.0,5,256.9679665504741,12.582885014686152,0.14633699227307456,18.364314556121826
100,0.01,4,1.0,0.8,0.1,1,256.8072562803841,12.577999984679611,0.14628277876691387,18.39005708694458
100,0.01,4,1.0,0.8,0.1,3,256.8070649480787,12.577972325705987,0.14628226364592195,18.41473698616028
100,0.01,4,1.0,0.8,0.1,5,256.74482014467736,12.57553271459081,0.14623260761103646,18.242881059646606
100,0.01,4,1.0,0.8,0.3,1,257.0663567085208,12.576638949218825,0.14616999221663218,18.282915115356445
100,0.01,4,1.0,0.8,0.3,3,257.0663567085208,12.576638949218825,0.14616999221663218,18.263919591903687
100,0.01,4,1.0,0.8,0.3,5,257.09171631147285,12.579391081989304,0.14619713722827876,18.224772453308105
100,0.01,4,1.0,1.0,0.0,1,246.77458645378374,12.341299590360904,0.1444856188123826,20.517247200012207
100,0.01,4,1.0,1.0,0.0,3,246.75961562864035,12.340817104645941,0.14448685083596577,20.650983333587646
100,0.01,4,1.0,1.0,0.0,5,246.7194220785407,12.339552453204508,0.14446196800182476,20.638169288635254
100,0.01,4,1.0,1.0,0.1,1,246.45886847994865,12.326318910236266,0.14431681086450943,20.800888061523438
100,0.01,4,1.0,1.0,0.1,3,246.45886847994865,12.326318910236266,0.14431681086450943,20.434157848358154
100,0.01,4,1.0,1.0,0.1,5,246.43502743236002,12.325969486284093,0.14430923945358387,20.180757999420166
100,0.01,4,1.0,1.0,0.3,1,246.6091805561764,12.332994633149752,0.1444075942005244,20.298534154891968
