fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
3,2,226.1991727810211,11.983181911795704,0.1256022663617933,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
4,3,272.5725717197638,11.933115397281599,0.1273919392332919,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
5,4,168.07571149522968,10.711872167272784,0.11243823084870506,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
6,5,378.3855001291095,14.960413549202038,0.17078637844855,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
7,6,170.04623999223963,10.196965727021421,0.11218719043707565,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
8,7,248.49126268505847,12.986655403759855,0.18336397019783343,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
1,0,546.3275754243796,18.647104533971547,0.16800859552430336,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
2,1,1113.9129469079407,29.33570379257202,0.36230976732571196,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
3,2,209.89231395057956,11.464910029140448,0.11838757479604553,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
4,3,303.3499889582512,13.425924659883783,0.1474027151549574,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
5,4,177.8863774557059,10.749047143371836,0.10950801287907778,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
6,5,178.13384708519325,10.12925637572324,0.11920261758385738,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
7,6,184.36541210509372,10.603277165376687,0.11351550945924037,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
8,7,287.7339025598534,13.719496335865053,0.18552262208879827,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,17,1210.4182176589966
1,0,497.6669054468266,17.70614025175175,0.1561954954683521,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
2,1,802.244151705064,24.58053248492154,0.3059907630180333,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
3,2,262.6734372008322,13.439432898483707,0.1342010186630595,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
