combination_id,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,mean_loss,std_loss,mean_mae,std_mae,mean_mape,std_mape,execution_time,error
22,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,237.56577437803884,88.26716899440649,11.87459862508994,2.4799520308643963,0.1352731625025974,0.039583590697831114,622.4341683387756,
23,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,389.8793301368427,249.68789224328282,15.17912971224152,5.461896460253649,0.17122179862803272,0.060336911479031946,1297.3691980838776,
24,GRU,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,247.88493375588774,78.03539341648093,12.231286165799062,1.8353741881847432,0.1375826493090997,0.02685186210500066,462.1705229282379,
25,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,392.01730470852044,301.43358547070636,15.17167457614632,6.082685309763601,0.16763480162225908,0.07615454825265369,937.4461560249329,
26,GRU,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,419.2292256347507,307.6050106342139,15.61939360230654,5.9818223523072485,0.1730773181691247,0.07052524072888065,400.680960893631,
27,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,377.3594341199609,331.92844361001875,14.812958697171581,6.454801233278614,0.16531993411776386,0.07863981807327085,853.6148407459259,
28,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,311.36127083287806,155.81888024986597,13.616289570575915,3.1469646132305136,0.1510366906683452,0.03381841330234932,436.08857011795044,
29,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,359.2799417675952,290.73433026436913,14.34271664218906,6.121743171708245,0.15879864489809342,0.07541704573686342,786.2945148944855,
30,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,280.85208483668407,143.84345251909036,13.09877188933833,3.4023671360634524,0.1470530247523361,0.039437129232155865,348.4087975025177,
31,GRU,mixed,"(64, 32)","(32,)",32,0.01,50,relu,adam,352.1569423671456,246.68495597582287,14.156952548850468,5.291984934905975,0.15676814041496065,0.06106524059389143,902.6880147457123,
32,GRU,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,290.07750617271375,224.6436937927838,13.161334075219774,4.807026622898247,0.14913302016261631,0.06420665518939754,359.5028381347656,
