combination_id,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,mean_loss,std_loss,mean_mae,std_mae,mean_mape,std_mape,execution_time
1,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,355.45529926614574,370.3439180134293,14.19958945991507,8.067841398481757,0.16222056201025128,0.10536443072184605,130.26426601409912
2,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,330.9127758193348,209.97858400492998,14.01940377867992,5.393295765063854,0.1592080344490841,0.07963664766607856,122.86820483207703
3,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,335.31339865956863,328.3674344516306,13.90517980179276,7.069758000571978,0.1512826072205397,0.0675570839768513,78.01740860939026
4,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,265.49372945858613,140.67304375155737,12.76742498789713,3.772614496461316,0.14732497722381668,0.05582063368416372,63.905107498168945
